"Population at Each Census from 1841 to 2016 (Number) by Sex, County and"
"Census Year"

" "," ","1841","1851","1861","1871","1881","1891","1901","1911","1926","1936","1946","1951","1956","1961","1966","1971","1979","1981","1986","1991","1996","2002","2006","2011","2016"
"Both sexes"
" ","Carlow",86228,68078,57137,51650,46568,40936,37748,36252,34476,34452,34081,34162,33888,33342,33593,34237,38668,39820,40988,40942,41616,46014,50349,54612,56932
" ","Dublin",372773,405147,410252,405262,418910,419216,448206,477196,505654,586925,636193,693022,705781,718332,795047,852219,983683,1003164,1021449,1025304,1058264,1122821,1187176,1273069,1347359
" ","Kildare",114488,95723,90946,83614,75804,70206,63566,66627,58028,57892,64849,66437,65915,64420,66404,71977,97185,104122,116247,122656,134992,163944,186335,210312,222504
" ","Kilkenny",202420,158748,124515,109379,99531,87261,79159,74962,70990,68614,66712,65235,64089,61668,60463,61473,69156,70806,73186,73635,75336,80339,87558,95419,99232
" ","Laois",153930,111664,90650,79771,73124,64883,57417,54629,51540,50109,49697,48430,47087,45069,44595,45259,49936,51171,53284,52314,52945,58774,67059,80559,84697
" ","Longford",115491,82348,71694,64501,61009,52647,46672,43820,39847,37847,36218,34553,32969,30643,28989,28250,30785,31140,31496,30296,30166,31068,34391,39000,40873
" ","Louth",128240,107662,90713,84021,77684,71038,65820,63665,62739,64339,66194,68771,69194,67378,69519,74951,86135,88514,91810,90724,92166,101821,111267,122897,128884
" ","Meath",183828,140748,110373,95558,87469,76987,67497,65091,62969,61405,66232,66337,66762,65122,67323,71729,90715,95419,103881,105370,109732,134005,162831,184135,195044
" ","Offaly",146857,112076,90043,75900,72852,65563,60187,56832,52592,51308,53686,52544,51970,51533,51717,51829,57342,58312,59835,58494,59117,63663,70868,76687,77961
" ","Westmeath",141300,111407,90879,78432,71798,65109,61629,59986,56818,54706,54949,54463,54122,52861,52900,53570,59885,61523,63379,61880,63314,71858,79346,86164,88770
" ","Wexford",202033,180158,143954,132666,123854,111778,104104,102273,95848,94245,91855,90032,87259,83308,83437,86351,96421,99081,102552,102069,104371,116596,131749,145320,149722
" ","Wicklow",126143,98979,86479,78697,70386,62136,60824,60711,57591,58569,60451,62590,59906,58473,60428,66295,83950,87449,94542,97265,102683,114676,126194,136640,142425
" ","Clare",286394,212440,166305,147864,141457,124483,112334,104232,95064,89879,85064,81329,77176,73702,73597,75008,84919,87567,91344,90918,94006,103277,110950,117196,118817
" ","Cork",854118,649308,544818,517076,495607,438432,404611,392104,365747,355957,343668,341284,336663,330443,339703,352883,396118,402465,412735,410369,420510,447829,481295,519032,542868
" ","Kerry",293880,238254,201800,196586,201039,179136,165726,159691,149171,139834,133893,126644,122072,116458,112785,112772,120356,122770,124159,121894,126130,132527,139835,145502,147707
" ","Limerick",330029,262132,217277,191936,180632,158912,146098,143069,140343,141153,142559,141239,137881,133339,137357,140459,157407,161661,164569,161956,165042,175304,184055,191809,194899
" ","Tipperary",435553,331567,249106,216713,199612,173188,160232,152433,141015,137835,136014,133313,129415,123822,122812,123565,133741,135261,136619,132772,133535,140131,149244,158754,159553
" ","Waterford",196187,164035,134252,123310,112768,98251,87187,83966,78562,77614,76108,75061,74031,71439,73080,77315,87278,88591,91151,91624,94680,101546,107961,113795,116176
" ","Galway",440198,321684,271478,248458,242005,214712,192549,182224,169366,168198,165201,160204,155553,149887,148340,149223,167838,172018,178552,180364,188854,209077,231670,250653,258058
" ","Leitrim",155297,111897,104744,95562,90372,78618,69343,63582,55907,50908,44591,41209,37056,33470,30572,28360,27844,27609,27035,25301,25057,25799,28950,31798,32044
" ","Mayo",388887,274499,254796,246030,245212,219034,199166,192177,172690,161349,148120,141867,133052,123330,115547,109525,114019,114766,115184,110713,111524,117446,123839,130638,130507
" ","Roscommon",253591,173436,157272,140670,132490,114397,101791,93956,83556,77566,72510,68102,63710,59217,56228,53519,54189,54543,54592,51897,51975,53774,58768,64065,64544
" ","Sligo",180886,128515,124845,115493,111578,98013,84083,79045,71388,67447,62375,60513,56850,53561,51263,50275,54610,55474,56046,54756,55821,58200,60894,65393,65535
" ","Cavan",243158,174071,153906,140735,129476,111917,97541,91173,82452,76670,70355,66377,61740,56594,54022,52618,53720,53855,53965,52796,52944,56546,64003,73183,76176
" ","Donegal",296448,255158,237395,218334,206035,185635,173722,168537,152508,142310,136317,131530,122059,113842,108549,108344,121941,125112,129664,128117,129994,137575,147264,161137,159192
" ","Monaghan",200442,141823,126482,114969,102748,86206,74611,71455,65131,61289,57215,55345,52064,47088,45732,46242,50376,51192,52379,51293,51313,52593,55997,60483,61386

